brand,model_name,launch_year,ram,rom,price,battery,Back_Camera_MP,Front_Camera_MP,Processor,5G_Support,Avg_Rating,Positive_Reviews,Negative_Reviews,review,os_type,popularity,category
Apple,iPhone XR,2018,4,64,48200,2942,12,7,A12 Bionic,No,3.9,63,10,Battery performance is average. Camera is decent for normal use. User feedback is mixed. This phone does not have the best processor.,IOS,3,phone
Apple,iPhone XR,2018,4,64,48200,2942,12,7,A12 Bionic,No,4.5,133,17,Battery performance is average. Camera is decent for normal use. Overall user feedback is positive. This phone does not have the best processor.,IOS,3,phone
Apple,iPhone XR,2018,4,64,48200,2942,12,7,A12 Bionic,No,3.5,49,14,Battery performance is average. Camera is decent for normal use. User feedback is mixed. This phone does not have the best processor.,IOS,3,phone
Apple,iPhone XR,2018,4,64,48200,2942,12,7,A12 Bionic,No,4.2,203,36,Battery performance is average. Camera is decent for normal use. Overall user feedback is positive. This phone does not have the best processor.,IOS,3,phone
Apple,iPhone XR,2018,4,64,48200,2942,12,7,A12 Bionic,No,3.9,145,57,Battery performance is average. Camera is decent for normal use. User feedback is mixed. This phone does not have the best processor.,IOS,3,phone
Apple,iPhone XR,2018,4,128,51400,2942,12,6,A12 Bionic,No,3.7,235,27,Battery performance is average. Camera is decent for normal use. User feedback is mixed. This phone does not have the best processor.,IOS,3,phone
Apple,iPhone XR,2018,4,128,51400,2942,12,6,A12 Bionic,No,4.6,322,20,Battery performance is average. Camera is decent for normal use. Overall user feedback is positive. This phone does not have the best processor.,IOS,3,phone
Apple,iPhone XR,2018,4,128,51400,2942,12,6,A12 Bionic,No,4,108,31,Battery performance is average. Camera is decent for normal use. User feedback is mixed. This phone does not have the best processor.,IOS,3,phone
Apple,iPhone XR,2018,4,128,51400,2942,12,6,A12 Bionic,No,4.3,39,13,Battery performance is average. Camera is decent for normal use. Overall user feedback is positive. This phone does not have the best processor.,IOS,3,phone
Apple,iPhone XR,2018,4,128,51400,2942,12,6,A12 Bionic,No,4.8,127,12,Battery performance is average. Camera is decent for normal use. Overall user feedback is positive. This phone does not have the best processor.,IOS,3,phone
Apple,iPhone 11,2019,6,64,48200,3110,12,12,A13 Bionic,No,4.5,297,48,Battery performance is average. Camera is decent for normal use. Overall user feedback is positive. Performance is suitable for daily usage.,IOS,3,phone
Apple,iPhone 11,2019,6,64,48200,3110,12,12,A13 Bionic,No,3.3,286,62,Battery performance is average. Camera is decent for normal use. User feedback is mixed. Performance is suitable for daily usage.,IOS,3,phone
Apple,iPhone 11,2019,6,64,48200,3110,12,12,A13 Bionic,No,4.7,252,94,Battery performance is average. Camera is decent for normal use. Overall user feedback is positive. Performance is suitable for daily usage.,IOS,3,phone
Apple,iPhone 11,2019,6,64,48200,3110,12,12,A13 Bionic,No,4.5,353,28,Battery performance is average. Camera is decent for normal use. Overall user feedback is positive. Performance is suitable for daily usage.,IOS,3,phone
Apple,iPhone 11,2019,6,64,48200,3110,12,12,A13 Bionic,No,3.7,238,106,Battery performance is average. Camera is decent for normal use. User feedback is mixed. Performance is suitable for daily usage.,IOS,3,phone
Apple,iPhone 11,2019,6,64,48200,3110,12,12,A13 Bionic,No,3.3,46,20,Battery performance is average. Camera is decent for normal use. User feedback is mixed. Performance is suitable for daily usage.,IOS,3,phone
Apple,iPhone 11,2019,6,128,51400,3110,12,12,A13 Bionic,No,3.9,250,29,Battery performance is average. Camera is decent for normal use. User feedback is mixed. Performance is suitable for daily usage.,IOS,3,phone
Apple,iPhone 11,2019,6,128,51400,3110,12,12,A13 Bionic,No,4.1,212,63,Battery performance is average. Camera is decent for normal use. User feedback is mixed. Performance is suitable for daily usage.,IOS,3,phone
Apple,iPhone 11,2019,6,128,51400,3110,12,12,A13 Bionic,No,3.4,276,72,Battery performance is average. Camera is decent for normal use. User feedback is mixed. Performance is suitable for daily usage.,IOS,3,phone
Apple,iPhone 11,2019,6,128,51400,3110,12,12,A13 Bionic,No,3.3,366,13,Battery performance is average. Camera is decent for normal use. User feedback is mixed. Performance is suitable for daily usage.,IOS,3,phone
